Speeches,Character,Play
2,Citizens,Caesar
2,Lord,AYLI
2,Chorus,Henry8
2,Messenger,Othello
2,Captain,Richard2
2,Menecrates,Antony
2,Servant,Errors
2,Scribe,Henry8
2,Francisco,Tempest
2,Lady Montague,Romeo
2,Servant,Shrew
2,Gentleman,Hamlet
2,Lords,WT
2,Second British Captain,Cymbeline
2,Sempronius,Timon
2,Servant 3,Lear
2,Townsman,Henry6p2
2,Fleance,Macbeth
2,Sheriff,Henry6p2
1,Second Roman,Coriolanus
1,Both,Pericles
1,Garter,Henry8
1,Diana,Pericles
1,Lord,Ado
1,Second Herald,Richard2
1,All,Henry6p3
1,Messenger,Pericles
1,Priest,Richard3
1,Philip,Shrew
1,Mariners,Tempest
1,Cupid,Timon
1,All,Timon
1,Second Watchman,Romeo
1,Gentlemen,Richard3
1,Players,Shrew
1,Some Others,Timon
1,Both Citizens,Coriolanus
1,Voltemand,Hamlet
1,Gentlemen,Hamlet
1,Tribunes,Titus
1,Young Coriolanus,Coriolanus
1,Ambassador,Hamlet
1,Chorus,Troilus
1,First Traveller,Henry4p1
1,Myrmidons,Troilus
1,Second Warder,Henry6p1
1,Officer,Henry6p1
1,Sentinels,Henry6p1
1,Porter,Henry6p1
1,Dancer,Henry4p2
1,Both,Henry6p2
1,Court,Henry5
1,Servants,Henry6p2
1,Attendant,Macbeth
1,First Apparition,Macbeth
1,Master,Henry6p2
1,Taurus,Antony
1,Third Roman,Coriolanus
1,All,Henry8
1,Philemon,Pericles
1,Sir John Mortimer,Henry6p3
1,Second Pirate,Pericles
1,Lieutenant,Henry6p3
1,First Messenger,Henry6p3
1,Second Senator,Othello
1,Fourth Gentleman,Othello
1,Messenger,Caesar
1,Second Attendant,Antony
1,Sir Henry Guildford,Henry8
1,Varrius,Antony
1,Attendants,Antony
1,Joseph,Shrew
1,Scrivener,Richard3
1,Second Messenger,Richard3
1,Earl of Surrey,Richard3
1,First Lady,Timon
1,Third Watchman,Romeo
1,All,Shrew
1,Second Gaoler,Cymbeline
1,Cornelius,Hamlet
1,Captain,Titus
1,Sixth Citizen,Coriolanus
1,Servant,Hamlet
1,All the Goths,Titus
1,Third Lord,Coriolanus
1,Thieves,Henry4p1
1,Helenus,Troilus
1,Travers,Henry4p2
1,Sir William Glansdale,Henry6p1
1,Soldier,Henry6p1
1,Messenger,Henry4p2
1,Harcourt,Henry4p2
1,Messenger,Measure
1,First Groom,Henry4p2
1,All,Merchant
1,Clerk,Merchant
1,First Neighbour,Henry6p2
1,Servant,Henry6p2
1,Duke of York,Henry5
1,Post,Henry6p2
1,All,Wives
1,Vaux,Henry6p2
1,Second Servant,Wives
1,Second Gentleman,Henry6p2
1,Peter of Pomfret,John
1,Second Soldier,Coriolanus
1,Second Knight,Pericles
1,Third Guard,Antony
1,First Commoner,Caesar
1,Servant,Pericles
1,Third Pirate,Pericles
1,Page,AWW
1,Nobleman,Henry6p3
1,Fourth Lord,AWW
1,Second Messenger,Henry6p3
1,First Gentleman,Othello
1,Sergeant,Henry8
1,Lord,Richard2
1,Essex,John
1,Sir Nicholas Vaux,Henry8
1,Daughter of Antiochus,Pericles
1,James Gurney,John
1,French Herald,John
1,Nicholas,Shrew
1,Another,Richard3
1,Haberdasher,Shrew
1,All,Richard3
1,Third Musician,Romeo
1,All Ladies,Timon
1,Jupiter,Cymbeline
1,Priest,12Night
1,Seventh Citizen,Coriolanus
1,Messenger,Titus
1,Second Goth,Titus
1,Second Servant,WT
1,Vintner,Henry4p1
1,Carrier,Henry4p1
1,Second Senator,Cymbeline
1,Third Stranger,Timon
1,Serving-Men,Henry6p1
1,First Citizen,Henry6p2
1,Sergeant,Henry6p1
1,Messenger,Lear
1,All,Henry6p1
1,Second Groom,Henry4p2
1,Servant,Henry6p1
1,Margaret Jourdain,Henry6p2
1,Second Neighbour,Henry6p2
1,Herald,Henry6p2
1,Servant,Wives
1,Third Apparition,Macbeth
1,English Herald,John
1,Both,Henry8
1,Gentlewoman,Coriolanus
1,Page,Henry8
1,Marshal,Pericles
1,First Roman,Coriolanus
1,Third Knight,Pericles
1,Captain,Antony
1,Officer,Coriolanus
1,Gallus,Antony
1,First Herald,Richard2
1,All,Richard2
1,Soldier,Henry6p3
1,Servant,AWW
1,Hymen,AYLI
1,Third Soldier,Caesar
1,Gaoler,Errors
1,Herald,Othello
1,Gentleman,Othello
1,Servant,Henry8
1,Gentleman,Richard3
1,Messenger,Shrew
1,Servants,Shrew
1,Fourth Messenger,Richard3
1,Sir Walter Herbert,Richard3
1,Princes,Richard3
1,All Lords,Timon
1,All,Cymbeline
1,Some Speak,Timon
1,Servant,12Night
1,Fifth Citizen,Coriolanus
1,All Citizens,Coriolanus
1,Outlaws,2Gents
1,Second Patrician,Coriolanus
1,Third Goth,Titus
1,All The People,Coriolanus
1,Ostler,Henry4p1
1,Time,WT
1,Attendant,Cymbeline
1,Rumour,Henry4p2
1,Soldiers,Macbeth
1,Soldier,Henry6p2
1,First Sentinel,Henry6p1
1,Brothers,Henry4p2
1,First Soldier,Henry6p1
1,Third Groom,Henry4p2
1,General,Henry6p1
1,Legate,Henry6p1
1,Balthasar,Merchant
1,Governor of Harfleur,Henry5
1,Beadle,Henry6p2
1,Third Neighbour,Henry6p2
1,Grandpre,Henry5
1,Herald,Henry5
1,Second Murderer,Henry6p2
